isbn,publication_year,author
978-0-13-079650-9,2018,Úrsula Juan Carlos Méndez
978-0-609-15622-3,2016,Sr(a). Gabriela Leal
978-1-75600-708-6,2008,Amelia Cano Bañuelos
978-1-84859-314-5,2015,Inés Elisa Fuentes
978-1-260-81269-5,2009,Irene Berta Riojas Peres
978-1-4354-7268-6,2021,Ing. Amador Ceja
978-0-657-67092-4,1998,Citlali Esparta Monroy
978-1-371-30136-1,2002,Mtro. Karina Cabán
978-0-02-908732-9,2009,Teresa Sánchez
978-0-585-64307-6,2018,Javier Heredia Pantoja
978-1-81895-224-8,1998,Leonel María Eugenia Ceballos Cabán
978-1-77672-912-8,1999,Violeta Silvia Amaya
978-1-147-19413-5,2001,Minerva Armendáriz Mejía
978-1-968004-87-3,1996,Sr(a). José María Fuentes
978-0-08-642690-1,2009,Isabela Julia Solano Baca
978-1-4223-3839-1,2012,Sr(a). Enrique Lozano
978-1-345-50010-3,2015,Rebeca Cristina Leyva
978-0-513-31097-1,2019,Gabriel Llamas
978-0-8409-5935-5,2002,Camilo Valle
978-0-209-82075-3,2001,Olga Arcelia Guajardo
978-1-60223-341-6,2018,Raquel Gonzales Acosta
978-0-531-17189-9,2010,Irma Burgos
978-0-941372-63-3,2006,Martín Sergio Guardado Rocha
978-1-279-76311-7,2015,Ernesto Octavio Oquendo
978-1-58563-626-6,2013,Javier Portillo
978-0-88588-699-9,2022,Silvano Carlos Rincón Bétancourt
978-0-310-36087-2,2010,Ivonne Lozada
978-0-87786-254-3,2004,Natividad Sepúlveda
978-0-01-681154-8,2010,Paulina Mayte Bétancourt Jurado
978-1-883429-20-1,2001,Georgina Sofía Chavarría León
