loan_date,return_date,statuss
26/07/2025,10/08/2025,entregado
28/06/2025,29/07/2025,retrasado
12/07/2025,15/07/2025,retrasado
29/06/2025,19/08/2025,retrasado
28/06/2025,18/07/2025,entregado
10/07/2025,01/08/2025,retrasado
15/07/2025,31/07/2025,entregado
22/06/2025,24/06/2025,activo
03/08/2025,08/08/2025,activo
12/07/2025,26/07/2025,entregado
10/07/2025,12/08/2025,entregado
11/06/2025,15/06/2025,retrasado
21/06/2025,21/08/2025,retrasado
08/06/2025,12/08/2025,activo
07/06/2025,06/07/2025,retrasado
22/06/2025,28/07/2025,retrasado
21/06/2025,19/08/2025,activo
22/06/2025,24/07/2025,entregado
22/06/2025,05/07/2025,retrasado
04/08/2025,19/08/2025,activo
27/07/2025,21/08/2025,retrasado
03/08/2025,22/08/2025,retrasado
22/07/2025,15/08/2025,entregado
01/07/2025,26/07/2025,entregado
07/06/2025,07/08/2025,activo
01/07/2025,18/07/2025,activo
07/07/2025,27/07/2025,retrasado
26/07/2025,22/08/2025,entregado
19/07/2025,21/07/2025,retrasado
27/07/2025,01/08/2025,entregado
